age,educ,pct_male,prior_crime_incidence,military,armed_robberies,homicides
44.75,11.375,0.25,0,0,0,0
61.57143,9.428572,0.14285713,2,0,0,0
54.285713,10,0.14285713,2,1,0,1
36,11.857142,0.71428573,2,0,0,0
42.42857,13.285714,0.4285714,1,1,0,0
48.714287,8.714286,0.28571427,3,1,0,1
NA,NA,NA,1,1,0,0
31.5,14,0.3333333,1,1,0,0
49.285713,11.285714,0.14285713,1,1,0,0
37.857143,13.285714,0,1,1,0,0
40.333332,14.666667,0,1,1,0,0
38,13.571428,0.4285714,3,0,0,0
43.714287,11.857142,0.14285713,1,1,0,0
44,12,0.5,3,1,0,0
43.142857,13.714286,0.4285714,1,0,0,0
40.42857,12.142858,0.4285714,1,0,0,0
46.57143,13.428572,0.85714287,2,1,0,0
49.42857,13.571428,0.57142854,1,1,0,0
56.42857,9.571428,0.14285713,1,0,0,0
45.142857,13.142858,0.4285714,1,1,0,0
47,11.714286,0.4285714,1,0,0,0
44.555557,14.444445,0.111111104,1,1,0,0
52.857143,12.714286,0.14285713,2,0,0,0
41,13.571428,0.4285714,5,0,0,1
39.142857,13.285714,0.14285713,1,0,0,0
40.42857,12.714286,0.28571427,2,0,0,0
38.142857,13.428572,0,5,0,0,0
48.57143,10.714286,0.28571427,1,1,0,0
50.857143,11.857142,0.4285714,3,1,1,1
NA,NA,NA,1,0,0,0
43.5,12.166667,0.3333333,2,1,0,0
49.857143,10,0.4285714,1,0,1,0
43,12.285714,0.71428573,1,0,0,0
50.142857,12.285714,0.4285714,1,0,0,0
55.714287,12.285714,0.57142854,2,0,0,0
37.42857,12.571428,0.28571427,1,1,0,0
43,11.857142,0.57142854,1,1,2,0
31,14,1,1,0,0,0
50.42857,8.142858,0,1,0,0,0
50.714287,11.285714,0,1,0,0,0
38.5,13.5,0.5,1,1,0,0
34.142857,15.428572,0.14285713,1,0,0,0
NA,NA,NA,1,0,0,0
NA,NA,NA,1,0,0,0
51.57143,11.285714,0.28571427,1,1,0,0
41,14.428572,0,1,1,0,0
57.714287,7.714286,0.4285714,4,0,0,0
NA,NA,NA,1,0,0,0
53.285713,14.571428,0.71428573,4,0,4,0
43.75,15.5,0.25,5,0,0,0
56.2,15.2,0.39999998,4,1,0,0
NA,NA,NA,1,1,0,0
43.142857,12,0.57142854,3,0,0,0
48,15.714286,0.14285713,1,1,2,0
32.5,14.5,0.375,0,1,0,0
47,14.75,0.625,1,1,0,0
NA,NA,NA,1,0,4,0
51,15.25,0.375,7,0,1,0
46.444443,12.555555,0.44444442,3,1,0,1
56.125,14.125,0.25,4,0,0,0
67.875,11.25,0.375,4,1,0,0
NA,NA,NA,1,0,0,0
NA,NA,NA,1,0,0,0
39.333332,12.666667,0.3333333,1,0,0,0
58.714287,13.428572,0.14285713,1,0,0,0
55.857143,15.714286,0.71428573,1,0,0,0
33.857143,15.428572,0,3,0,0,0
51.857143,14,0.28571427,3,0,0,0
54.285713,13.714286,0.4285714,1,0,0,0
56.42857,14.857142,0.28571427,1,1,0,0
64,14.714286,0.14285713,2,0,0,0
41.714287,14.571428,0.57142854,2,0,0,0
42.42857,14.857142,0.14285713,1,1,0,0
56.42857,15.714286,0.28571427,1,1,0,0
53.125,14.875,0.5,1,1,1,0
NA,NA,NA,1,0,0,0
46.666668,13.666667,1,2,0,0,0
47.714287,13.714286,0.71428573,2,1,0,0
58,13.428572,0.28571427,2,1,2,0
36.57143,17.857143,0.14285713,0,0,0,0
54.142857,12.142858,0.28571427,0,1,0,0
57,17.285715,0.71428573,1,1,0,0
54.25,13.125,0.5,1,1,0,0
54.375,12.625,0.5,2,1,3,0
55.142857,17.571428,0.57142854,10,0,0,0
58.57143,15.428572,0.57142854,3,0,0,0
53.625,13.625,0.5,2,1,0,0
62.142857,11.714286,0.28571427,1,1,0,0
56.857143,13.428572,0.4285714,3,0,0,0
37,14.125,0.375,1,0,0,0
49.714287,15.571428,0.71428573,1,0,0,0
44,14.6,0.19999999,3,0,0,0
50.857143,10.428572,0.28571427,1,0,0,0
NA,NA,NA,1,0,0,0
52.285713,15.142858,0.57142854,1,0,2,0
45.142857,13.142858,0.14285713,1,1,0,0
