obs,sdf_2020_f,unrest,pop,male,v_age,income,region,sdf_2016_f,sdf_2024_f
Yes,62.57257457,0,6135,0.479139902,54,4,Northern Rim,50.65502227,63.59257457
Yes,53.36088856,0,7714,0.486927909,33,3,West,53.25807288,54.38088856
Yes,61.59476263,0,16571,0.521990194,39,3,West,50.37997381,62.61476263
Yes,57.51121194,0,1935,0.49403068,66,5,West,47.53753801,58.53121194
Yes,48.72297064,0,10482,0.486731337,42,4,Eastern Islands,26.30138002,49.74297064
Yes,45.4533862,0,12306,0.520997754,57,4,West,54.45496604,46.4733862
Yes,50.98907972,0,9393,0.495325083,37,5,Northern Rim,37.99939656,52.00907972
Yes,56.65507164,0,8980,0.495416326,60,3,Eastern Islands,49.45658835,57.67507164
Yes,43.54766872,0,3296,0.528209923,20,3,Eastern Islands,39.47370229,44.56766872
Yes,39.33110913,0,13422,0.532973951,42,5,West,47.77913719,40.35110913
Yes,48.55607022,0,13557,0.512352081,40,4,Eastern Islands,45.11190559,49.57607022
Yes,42.59534733,0,7501,0.512447437,55,2,West,37.94836415,43.61534733
Yes,57.41739939,0,11396,0.537020988,25,4,West,47.048455,58.43739939
Yes,49.7469662,0,3194,0.516715814,74,3,Eastern Islands,58.05250101,50.7669662
Yes,66.38386927,0,9019,0.480832648,47,2,West,50.35218038,67.40386927
Yes,44.49117119,0,7589,0.528766855,46,3,West,43.18993353,45.51117119
Yes,42.205081,0,11639,0.506826843,47,3,West,49.48138257,43.225081
Yes,60.79731505,0,9577,0.528777622,46,4,West,61.26838031,61.81731505
Yes,51.63645755,1,12502,0.4847232,39,3,West,34.61116515,52.65645755
Yes,55.28043359,0,11077,0.508823088,31,3,Northern Rim,60.47916049,56.30043359
Yes,53.86181723,0,12686,0.487127754,45,3,Eastern Islands,41.83494282,54.88181723
Yes,43.40487741,0,8052,0.524992653,43,3,Eastern Islands,50.81743596,44.42487741
Yes,45.78769402,0,6368,0.51261254,46,6,West,35.44727403,46.80769402
Yes,48.6730225,0,10687,0.506106253,50,2,West,45.19727353,49.6930225
Yes,56.67499436,0,16574,0.473066519,50,2,West,49.23449847,57.69499436
Yes,68.19603359,0,10413,0.523537752,43,3,West,59.3247832,69.21603359
Yes,62.55419029,0,10578,0.511850257,30,2,Northern Rim,56.58364134,63.57419029
Yes,55.31076465,0,11701,0.509281221,44,3,Northern Rim,42.99659964,56.33076465
Yes,42.71379174,0,13147,0.511723191,45,4,West,40.09539266,43.73379174
Yes,52.42268515,0,12299,0.518899185,53,4,West,32.01523084,53.44268515
Yes,41.92765946,0,3982,0.556860922,19,4,Northern Rim,39.32246239,42.94765946
Yes,59.50865235,0,12616,0.496094131,43,4,Northern Rim,39.97966849,60.52865235
Yes,55.5479223,0,5314,0.508130995,23,3,West,52.89068412,56.5679223
Yes,61.93363853,0,16306,0.541364501,43,2,Eastern Islands,42.47411738,62.95363853
Yes,55.25141438,0,5136,0.517600263,18,5,Eastern Islands,50.39740588,56.27141438
Yes,53.65133718,0,5749,0.50338503,71,4,Eastern Islands,38.29104287,54.67133718
Yes,58.24778275,0,15214,0.513189119,51,2,West,49.5328973,59.26778275
Yes,54.09462454,0,17852,0.488742712,45,5,West,45.38170188,55.11462454
Yes,52.82986295,0,7572,0.539580809,59,2,West,48.9360677,53.84986295
Yes,52.94070056,0,9389,0.53888416,75,5,Eastern Islands,60.88721086,53.96070056
Yes,52.29083966,0,17025,0.480840578,46,4,Eastern Islands,49.97584795,53.31083966
Yes,30.71820833,0,9523,0.523532228,18,1,West,46.6906111,31.73820833
Yes,48.15084156,0,10696,0.53983138,45,3,Northern Rim,54.57039788,49.17084156
Yes,49.53897137,0,8807,0.510424551,31,3,Northern Rim,52.56985777,50.55897137
