ResponseID,rep,dem,gender,employed,educat
R_3nGChT9uXxpGL02,0,0,Male,1,0
R_1Cj2mBz5kq8pSnz,0,1,Female,1,1
R_w4yj3flOVzy8o0N,0,1,Female,0,0
R_3HuhMHnGlMXzIFv,0,0,Male,1,0
R_9NCli0XyHqzKThn,0,1,Male,1,1
R_3JdWotZwmJqczrS,0,0,Female,1,0
R_1ISGoeEu7PuLLrJ,0,0,Male,1,1
R_3xCeuBWoJlobfX3,0,1,Female,1,0
R_BLMs8SbWjxtss9z,0,0,Male,1,1
R_1o7n3I5J5LEArp5,0,1,Female,1,0
R_DbKh9lEv0P09dOF,NA,NA,Male,1,1
R_3stuqK9w7ezVr18,1,0,Male,1,1
R_1nW0YMXJiTTYcAm,0,0,Male,1,1
R_b7vzXwoVFrqXIad,0,0,Male,1,1
R_27xqLDEkKPsdgxy,0,0,Female,1,1
R_DVkUtMrHvI1RBU5,0,0,Male,0,0
R_1kSUFvOimousAxR,0,1,Female,1,0
R_yTJQeAieyE9J9qV,NA,NA,Male,1,1
R_32IR1BanIg1jejC,0,1,Male,1,1
R_1pyT0Rg37jR0xM8,0,1,Male,1,1
R_2mJO0i4foVPxDxL,0,1,Female,1,1
R_CmhwKz57jemQ14l,0,1,Female,1,1
R_3I3K2ZSIKNX9FjR,1,0,Male,1,1
R_2rCQW1qEbwywc1u,0,1,Male,1,1
R_274iDyCx7uP4ubS,1,0,Male,1,0
R_2s77a6ynlOIOQs3,1,0,Male,1,0
R_bwKKRtOYuCjXND3,0,1,Female,1,0
R_3ebgxlYGUdF1lpy,1,0,Male,1,0
R_3rOD8nBUEcLvyVi,0,0,Male,1,0
R_ekxf71eCQfTTTUd,0,1,Male,1,1
R_8nXW6Q1o9ZjdKhj,0,1,Female,1,0
R_1mEi4ju1LhyvG5t,1,0,Male,1,1
R_2P6WMAMlD7d5wUi,0,0,Female,1,0
R_3J9rZKsV6qPLEKM,0,0,Male,1,1
R_RjWlI5axG3oUaZ3,0,1,Female,1,1
R_2v2Of3PYvZUOSPq,0,0,Female,1,0
R_3fr8J4atO4ppa84,0,1,Male,1,1
R_2P86vYxJCssadnp,0,1,Male,1,1
R_RVoxDh8xdTLCUfL,0,0,Female,1,0
R_1Te2s2vjVgIxUZP,1,0,Male,1,0
R_2S1b9E9hOEDzpuh,0,1,Female,1,1
R_3Rqh39KylzPYH2c,0,0,Male,1,1
R_23X2B86IbPK3t4X,0,1,Male,0,1
R_1oIriSRxeP3iorO,0,1,Male,1,1
R_rfl8iWjOClFOVHz,1,0,Male,1,1
R_O7iUUTxBv5bOidz,0,1,Female,1,1
R_1mRcoQcCrkK4ncE,0,1,Male,0,1
R_1QnqnwsUD3nTsCb,0,0,Female,1,1
R_2sT2DaAgXv1B3eY,0,1,Female,1,0
R_1i8mkw0Lq6yHhMl,0,1,Male,1,1
R_1OGHo532k4JGdB0,0,1,Male,1,1
R_5jXCq2v0gbGGo49,0,0,Female,0,0
R_3ME6Y8ATgXFjPY0,0,0,Male,1,0
R_3CV01jejfEjCqHV,0,0,Male,1,0
R_1hWsIlxxQKy5KoA,0,0,Male,1,1
R_3dSP48oiE8YmEsl,0,1,Female,1,1
R_yKZydcNvBCaeRGx,0,1,Female,1,1
R_3fqJPff2hThenUS,1,0,Male,1,0
R_2P70OMeMdYxit8Y,0,0,Female,1,1
R_rom0a8V8siZtfTr,0,1,Female,1,1
R_1lg8VJPgIaTUznV,0,1,Female,1,1
R_3PNMfhuHumiO3PC,0,0,Male,1,1
R_3ql2WsXR0wJ4ZTn,1,0,Male,0,0
R_2sYWaOFffQxRb4w,0,0,Male,1,0
R_3P2gshADE5WrQVb,0,1,Female,0,1
R_2BbSqMpqVAQqu5r,0,1,Male,1,0
R_0SvLTbnYRmKMJMt,0,1,Female,1,1
R_3MrR99QVhcfrpzt,0,1,Male,1,1
R_3JgRqNKKvQoyHLq,0,0,Female,1,0
R_2cu4Ww4hGGXCtYE,0,0,Male,1,1
R_1QKJ1Kld1yBWkM0,0,0,Male,1,0
R_8D1HGn9PSxiBm8N,1,0,Female,1,1
R_1GwQZhAcFLMXTkU,0,1,Male,1,1
R_2dXhVmi1Z1EKBIK,0,0,Male,1,0
R_3fuWgoBM3b5spTE,0,1,Male,0,0
R_3fvGmoVTawMnxGp,0,1,Female,0,1
R_1qfgSPdYmF6xwl5,0,1,Female,1,1
R_QfXjVLwwKsZVQad,0,1,Male,1,1
R_p5moncIlJuRV3fr,0,0,Male,1,0
R_2TH1s4UK9FG5UBD,1,0,Male,0,1
R_8vRK2vHEkQ0i3yp,0,1,Male,1,1
R_2q3hgFoUjWesNN0,1,0,Male,1,1
R_eEwNEYEPNil5Dxf,0,0,Male,1,1
R_3jcG84a4DEXP7y2,0,1,Male,1,0
R_2qeNh47NajjaEop,0,0,Male,0,1
R_12LoZeR3dbckHyt,0,1,Female,0,1
R_1dK8BAeziMbkmYp,0,0,Male,1,1
R_3kgBWt0XP60XalY,0,0,Male,1,0
R_2wc8bBNY1l07BW9,0,1,Female,0,1
R_3dQCLgBhtLwKczV,0,1,Female,0,1
R_3GpnkFrzbaNvjtz,0,1,Male,1,1
R_R2MG9uSTwQsZuRH,0,0,Female,1,0
R_2absnsonaWb8TWP,1,0,Male,1,1
R_3ekreP8yQH18EqF,0,0,Female,1,1
R_2duU9jsU9mnIapi,0,1,Male,1,1
R_2yqI9wuUh2emjeN,0,1,Female,0,0
R_3rSzDAMoU5GdHFv,0,1,Male,1,1
R_2QfYWQnaGCfsgNY,0,1,Female,1,1
R_2CUlstywIfbFmfj,1,0,Male,1,0
R_1H1RnHlvB12VAd8,0,0,Female,1,1
R_2Y577q78mmYAYAP,1,0,Male,1,1
R_3nVhmSQW2I0K1i9,1,0,Female,1,0
R_w5WzGMbmTfzFeOR,NA,NA,Male,1,1
R_2AMhmGSLHPRYBLu,0,0,Female,0,0
R_ZymSvQpDcSbv6UN,0,0,Male,1,0
R_DzMlvIqQFAeMkRb,0,0,Male,1,1
R_2zi0QzBtayZ3KRZ,0,1,Male,0,1
R_3Piajn8mxUMZqeU,0,1,Female,1,1
R_yz7hZQLeuPOCCaZ,0,1,Male,1,1
R_29mDNZn2BvP1h9U,0,1,Female,1,0
R_3FPZyTVULEC99Si,1,0,Male,1,0
R_3scCGZ80uFE50CS,1,0,Female,1,0
R_2fYZo4mJdVq5kVr,0,1,Female,0,1
R_3pgwo0x606gF11G,0,1,Male,1,1
R_2wRha3wKx49tJFo,1,0,Male,1,1
R_1hMd6xzcsk0voF2,1,0,Male,1,1
R_3JsCyg0OBPxpC0f,0,1,Male,1,0
R_yCsqEERm3MoIf0R,1,0,Male,1,1
R_wMhVSQDhf8tumfT,0,1,Male,1,1
R_25N1Jmi03gke2ws,0,0,Female,1,1
R_tFc9in1UtQXxOpj,1,0,Male,0,0
R_1DUWKSo1ii8VsV0,1,0,Female,0,1
R_2z5RwpibQL9Y0jD,NA,NA,Female,0,1
R_z2md6rzJ5ltDjq1,0,1,Male,1,1
R_3Ppjy8Ud6sviVa2,1,0,Male,1,1
