"","drafted","lottery","predraft_colprep","predraft_voted_1968","predraft_ideology_index","postwar_support_us_intervention"
"1",0,351,1,0,0.16666667163372,"Yes"
"2",0,345,1,1,0.25,"No"
"3",0,89,1,1,0.25,"Yes"
"4",0,276,0,0,0.625,"Yes"
"5",0,331,0,0,0.333333343267441,"Yes"
"6",0,325,1,1,0.333333343267441,"No"
"7",0,339,0,0,NA,"No"
"8",0,304,0,1,0.25,"Yes"
"9",0,56,1,1,0.5,"No"
"10",0,142,1,1,0.125,"Yes"
"11",0,15,1,1,0.25,"Yes"
"12",0,237,1,1,0.5,"Yes"
"13",0,106,1,1,0.5,"No"
"14",0,170,1,1,0.5,"No"
"15",0,264,0,0,0.5,"No"
"16",0,344,0,1,0,"No"
"17",0,265,0,0,0.375,"Yes"
"18",0,345,0,NA,0.75,"No"
"19",0,218,0,0,0.5,"Yes"
"20",0,71,1,1,0.25,"Yes"
"21",0,235,0,0,0.16666667163372,"Yes"
"22",0,26,1,1,0.875,"No"
"23",0,55,1,1,0.25,"No"
"24",0,350,1,0,0.375,"No"
"25",1,178,1,0,0.333333343267441,"Yes"
"26",0,276,1,1,0.375,"Yes"
"27",0,155,1,1,0,"Yes"
"28",1,191,1,0,0.25,"Yes"
"29",0,139,1,0,0.625,"Yes"
"30",0,299,1,1,0,"Yes"
"31",0,364,0,0,0.125,"Yes"
"32",0,286,0,0,0.375,"No"
"33",1,45,0,0,0.75,"Yes"
"34",0,196,0,0,0.125,"Yes"
"35",0,32,1,1,0,"No"
"36",0,246,1,1,0.5,"Yes"
"37",0,316,0,1,0.375,"No"
"38",0,135,1,1,0.625,"Yes"
"39",0,348,0,1,0.625,"No"
"40",0,342,0,1,0.375,"Yes"
"41",0,159,1,NA,0.375,"No"
"42",0,197,0,1,0,"Yes"
"43",0,320,1,0,0.5,"Yes"
"44",0,340,0,1,0.625,"Yes"
"45",0,20,1,1,0.375,"Yes"
"46",1,15,0,NA,0.375,"Yes"
"47",0,235,0,1,0.25,"Yes"
"48",0,358,0,0,0.25,"Yes"
"49",0,235,1,1,0.333333343267441,"No"
"50",0,231,0,0,0.375,"Yes"
"51",0,79,1,1,0.625,"No"
"52",0,221,0,1,0.16666667163372,"No"
"53",1,21,1,1,0.375,"No"
"54",0,349,0,1,0.375,"Yes"
"55",0,261,0,1,0.16666667163372,"Yes"
"56",0,153,1,1,0.16666667163372,"No"
"57",0,319,1,1,0.16666667163372,"Yes"
"58",1,120,1,0,0.666666686534882,"Yes"
"59",0,359,1,0,0.375,"No"
"60",0,307,0,0,0.375,"No"
"61",0,204,0,1,0.375,"Yes"
"62",0,201,1,NA,0.375,"No"
"63",0,34,1,0,0,"Yes"
"64",0,351,1,1,0,"Yes"
"65",0,363,1,NA,0.666666686534882,"No"
"66",0,312,1,NA,0.25,"Yes"
"67",0,316,0,NA,0.333333343267441,"No"
"68",0,206,0,1,0.875,"Yes"
"69",0,69,1,1,0.25,"Yes"
"70",0,186,1,1,0,"Yes"
"71",0,346,0,0,0.625,"Yes"
"72",0,255,0,1,0.25,"No"
